table_catalog;table_schema;table_name;column_name;ordinal_position;column_default;is_nullable;data_type;character_maximum_length;character_octet_length;numeric_precision;numeric_precision_radix;numeric_scale;datetime_precision;character_set_catalog;character_set_schema;character_set_name;collation_catalog;collation_schema;collation_name;domain_catalog;domain_schema;domain_name
XpoMaster;fo;v_ReferenceNumber_FT;OrderReferenceNumberId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_ReferenceNumber_FT;OrderId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_ReferenceNumber_FT;ReferenceNumber;3;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;edi;StandardCode;ID;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;edi;StandardCode;Description;2;;YES;varchar;80;80;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;edi;StandardCode;ElementId;3;;NO;varchar;4;4;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;edi;StandardCode;StandardCode;4;;NO;varchar;6;6;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;edi;StandardCode;Version;5;;NO;varchar;12;12;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;edi;StandardCode;CreatedDate;6;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;edi;StandardCode;CreatedBy;7;;YES;varchar;150;150;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;truck;TruckRecurrence;TruckRecurrenceId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;OnSunday;2;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;OnMonday;3;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;OnTuesday;4;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;OnWednesday;5;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;OnThursday;6;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;OnFriday;7;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;OnSaturday;8;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;truck;TruckRecurrence;StartDate;9;;NO;date;;;;;;0;;;;;;;;;
XpoMaster;truck;TruckRecurrence;EndDate;10;;NO;date;;;;;;0;;;;;;;;;
XpoMaster;truck;TruckRecurrence;StartTime;11;;NO;time;;;;;;7;;;;;;;;;
XpoMaster;truck;TruckRecurrence;EndTime;12;;NO;time;;;;;;7;;;;;;;;;
XpoMaster;truck;TruckRecurrence;UpdatedDate;13;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;accounting;CashReceipt;CashReceiptId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;CashReceipt;AccountsReceivableId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;CashReceipt;CashReceiptTypeId;3;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;CashReceipt;CurrencyId;4;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;CashReceipt;TransactionAmount;5;;NO;decimal;;;19;10;4;;;;;;;;;;
XpoMaster;accounting;CashReceipt;CheckNumber;6;;YES;varchar;30;30;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;accounting;CashReceipt;CheckDate;7;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;accounting;CashReceipt;CreatedBy;8;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;accounting;CashReceipt;CreatedDate;9;(getdate());YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;accounting;CashReceipt;UpdatedBy;10;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;accounting;CashReceipt;UpdatedDate;11;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;accounting;CashReceipt;OracleReceivableId;12;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;CashReceipt;Amount;13;;YES;decimal;;;19;10;4;;;;;;;;;;
XpoMaster;dbo;v_Mapping;MappingId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;v_Mapping;MappingMetadataId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;v_Mapping;SourceValue;3;;NO;varchar;100;100;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;v_Mapping;DestinationValue;4;;NO;varchar;100;100;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;Asset;Hash;Id;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;Asset;Hash;Key;2;;NO;nvarchar;100;200;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;Asset;Hash;Field;3;;NO;nvarchar;100;200;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;Asset;Hash;Value;4;;YES;nvarchar;-1;-1;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
